hs6,isic4
391723,2220
391729,2220
391731,2220
391732,2220
391733,2220
391739,2220
391740,2220
391810,2220
391890,2220
391910,2220
391990,2220
392010,2220
392020,2220
392030,2220
392043,2220
392049,2220
392051,2220
392059,2220
392061,2220
392062,2220
392063,2220
392069,2220
392071,2220
392073,2220
392079,2220
392091,2220
392092,2220
392093,2220
392094,2220
392099,2220
392111,2220
392112,2220
392113,2220
392114,2220
392119,2220
392190,2220
392210,2220
392220,2220
392290,2220
392310,2220
392321,2220
392329,2220
392330,2220
392340,2220
392350,2220
392390,2220
392410,2220
392490,2220
392510,2220
392520,2220
392530,2220
392590,2220
392610,2220
392620,1410
392630,2220
392640,2220
392690,2220
400110,0129
400121,0129
400122,0129
400129,0129
400130,0230
400211,2013
400219,2013
400220,2013
400231,2013
400239,2013
400241,2013
400249,2013
400251,2013
400259,2013
400260,2013
400270,2013
400280,2013
400291,2013
400299,2013
400300,3830
400400,n/a
400510,2219
400520,2219
400591,2219
400599,2219
400610,2211
400690,2219
400700,2219
400811,2219
400819,2219
400821,2219
400829,2219
400911,2219
400912,2219
400921,2219
400922,2219
400931,2219
400932,2219
400941,2219
400942,2219
401011,2219
401012,2219
401019,2219
401031,2219
401032,2219
401033,2219
401034,2219
401035,2219
401036,2219
401039,2219
401110,2211
401120,2211
401130,2211
401140,2211
401150,2211
401161,2211
401162,2211
401163,2211
401169,2211
401192,2211
401193,2211
401194,2211
401199,2211
401211,2211
401212,2211
401213,2211
401219,2211
401220,n/a
401290,2211
401310,2211
401320,2211
401390,2211
401410,2219
401490,2219
401511,2219
401519,2219
401590,2219
401610,2219
401691,2219
401692,2219
401693,2219
401694,2219
401695,2219
401699,2219
401700,2219
410120,1010
410150,1010
410190,1010
410210,1010
410221,1010
410229,1010
410320,1010
410330,1010
410390,1010
410411,1511
410419,1511
410441,1511
410449,1511
410510,1511
410530,1511
410621,1511
410622,1511
410631,1511
410632,1511
410640,1511
410691,1511
410692,1511
410711,1511
410712,1511
410719,1511
410791,1511
410792,1511
410799,1511
411200,1511
411310,1511
411320,1511
411330,1511
411390,1511
411410,1511
411420,1511
411510,1511
411520,n/a
420100,1512
420211,1512
420212,1512
420219,1512
420221,1512
420222,1512
420229,1512
420231,1512
420232,1512
420239,1512
420291,1512
420292,1512
420299,1512
420310,1410
420321,3230
420329,1410
420330,1410
420340,1410
420500,1512
420600,3290
430110,1010
430130,1010
430160,1010
430180,1010
430190,1010
430211,1511
430219,1511
430220,1511
430230,1511
430310,1420
430390,1420
430400,1420
440110,0220
440121,1610
440122,1610
440131,n/a
440139,n/a
440210,0220
440290,0220
440310,1610
440320,0210
440341,0210
440349,0210
440391,0210
440392,0210
440399,0210
440410,1610
440420,1610
440500,1610
440610,1610
440690,1610
440710,1610
440721,1610
440722,1610
440725,1610
440726,1610
440727,1610
440728,1610
440729,1610
440791,1610
440792,1610
440793,1610
440794,1610
440795,1610
440799,1610
440810,1621
440831,1621
440839,1621
440890,1621
440910,1610
440921,1610
440929,1610
441011,1621
441012,1621
441019,1621
441090,1621
441112,1621
441113,1621
441114,1621
441192,1621
441193,1621
441194,1621
441210,1621
441231,1621
441232,1621
441239,1621
441294,1621
441299,1621
441300,1621
441400,1629
441510,1623
441520,1623
441600,1623
441700,1629
441810,1622
441820,1622
441840,1622
441850,1622
441860,1622
441871,1622
441872,1622
441879,1622
441890,1622
441900,1629
442010,1629
442090,1629
442110,1629
442190,1629
450110,0230
450190,1629
450200,1629
450310,1629
450390,1629
450410,1629
450490,1629
460121,1629
460122,1629
460129,1629
460192,1629
460193,1629
460194,1629
460199,1629
460211,1629
460212,1629
460219,1629
460290,1629
470100,1701
470200,1701
470311,1701
470319,1701
470321,1701
470329,1701
470411,1701
470419,1701
470421,1701
470429,1701
470500,1701
470610,1701
470620,1701
470630,1701
470691,1701
470692,1701
470693,1701
470710,n/a
470720,n/a
470730,n/a
470790,n/a
480100,1701
480210,1701
480220,1701
480240,1701
480254,1701
480255,1701
480256,1701
480257,1701
480258,1701
480261,1701
480262,1701
480269,1701
480300,1701
480411,1701
480419,1701
480421,1701
480429,1701
480431,1701
480439,1701
480441,1701
480442,1701
480449,1701
480451,1701
480452,1701
480459,1701
480511,1701
480512,1701
480519,1701
480524,1701
480525,1701
480530,1701
480540,1701
480550,1701
480591,1701
480592,1701
480593,1701
480610,1701
480620,1701
480630,1701
480640,1701
480700,1701
480810,1702
480840,1701
480890,1701
480920,1701
480990,1701
481013,1701
481014,1701
481019,1701
481022,1701
481029,1701
481031,1701
481032,1701
481039,1701
481092,1701
481099,1701
481110,1701
481141,1701
481149,1701
481151,1701
481159,1701
481160,1701
481190,1701
481200,1709
481310,1709
481320,1709
481390,1701
481420,1709
481490,1709
481620,1709
481690,1709
481710,1709
481720,1709
481730,1709
481810,1709
481820,1709
481830,1709
481850,1709
481890,1709
481910,1702
481920,1702
481930,1702
481940,1702
481950,1702
481960,1702
482010,1709
482020,1709
