tahun,klasifikasi,isic5,isic3,isic2,n_perusahaan,tk_total,upah_total,nilai_output,biaya_input,nilai_tambah,modal,energi,bahan_total,bahan_impor,ekspor,n_eksportir,n_lapor_modal,n_asing,ULC,upah_per_pekerja,produktivitas,modal_per_pekerja,energi_per_pekerja,pangsa_impor,intensitas_ekspor
2009,Rev3,15314,153,15,14,6378,399048646,6402370786,5577084616,825286170,5170728,3330434,5481416264,0,5610194207,8,2,4,0.4835,62566423,129395762,810713,522175,0.0,0.8763
2010,Rev3,15314,153,15,16,7303,61318098,6051147978,4867702210,1183445768,23468984,14434904,4838826830,0,3783546588,7,6,4,0.0518,8396289,162049263,3213609,1976572,0.0,0.6253
2006,Rev3,15315,153,15,30,0,0,161147196,120675030,40472166,0,0,0,0,138029054,11,0,0,,,,,,,0.8565
2007,Rev3,15315,153,15,32,2380,12834389,169902296,106321547,63580749,643037,1132634,101779253,3171665,105678632,3,10,0,0.2019,5392600,26714600,270184,475897,0.0312,0.622
2009,Rev3,15315,153,15,25,2377,18180952,1028210385,724029124,304181261,2039255,5668107,627027356,112609673,524109030,8,9,0,0.0598,7648697,127968557,857911,2384563,0.1796,0.5097
2010,Rev3,15315,153,15,31,4174,30880618,1465959700,775510593,690449107,110850864,15036048,723528127,100663346,400007729,7,14,2,0.0447,7398327,165416652,26557466,3602311,0.1391,0.2729
2006,Rev3,15316,153,15,22,0,0,65487135,34476655,31010480,0,0,0,0,35541741,1,0,0,,,,,,,0.5427
2007,Rev3,15316,153,15,18,1997,8717555,175996106,137132471,38863635,1363347,2576079,92221679,0,36794801,1,6,1,0.2243,4365325,19461009,682698,1289974,0.0,0.2091
2009,Rev3,15316,153,15,16,498,3155048,41598643,34660369,6938274,4000750,591346,33877005,0,0,0,2,0,0.4547,6335438,13932277,8033635,1187442,0.0,0.0
2010,Rev3,15316,153,15,19,737,8033421,80591977,57899502,22692475,4905315,1273963,54986551,0,0,0,2,0,0.354,10900164,30790332,6655787,1728579,0.0,0.0
2006,Rev3,15317,153,15,13,0,0,12877324,10160496,2716828,0,0,0,0,0,0,0,0,,,,,,,0.0
2007,Rev3,15317,153,15,10,257,675937,1084895,114893,970002,0,0,0,0,0,0,0,0,0.6968,2630105,3774327,0,0,,0.0
2009,Rev3,15317,153,15,11,276,503500,706432,5390,701042,0,0,0,0,0,0,0,0,0.7182,1824275,2540007,0,0,,0.0
2010,Rev3,15317,153,15,11,270,808180,1349737,266729,1083008,0,89272,131650,0,501610,1,0,0,0.7462,2993259,4011141,0,330637,0.0,0.3716
2006,Rev3,15318,153,15,75,0,0,463744116,365928897,97815219,0,0,0,0,60000000,1,0,0,,,,,,,0.1294
2007,Rev3,15318,153,15,66,2095,5799870,119550952,99785027,19765925,102300,962744,96136940,0,5194306,1,4,1,0.2934,2768434,9434809,48831,459544,0.0,0.0434
2009,Rev3,15318,153,15,68,2167,7913827,108720523,93176009,15544514,4043254,716010,89972269,0,0,0,4,1,0.5091,3651974,7173287,1865830,330415,0.0,0.0
2010,Rev3,15318,153,15,67,2126,11571805,3396442516,182467535,3213974981,4780463,976444,177846612,0,0,0,4,1,0.0036,5442994,1511747404,2248571,459287,0.0,0.0
2006,Rev3,15321,153,15,9,0,0,9169166289,7775686168,1393480121,0,0,0,0,383397463,5,0,0,,,,,,,0.0418
2007,Rev3,15321,153,15,10,5147,390894608,26355972168,24388593632,1967378536,76917301,354804127,20910742530,18868413504,0,0,3,1,0.1987,75946106,382237913,14944104,68934161,0.9023,0.0
2009,Rev3,15321,153,15,8,3924,296195214,14867163108,12978280210,1888882898,560400414,62854286,10999322738,10995352607,6397713153,2,3,2,0.1568,75482980,481366692,142813561,16017912,0.9996,0.4303
2010,Rev3,15321,153,15,9,3911,286355566,12060804697,10149436773,1911367924,467866874,67200109,8656572035,8476380836,425200130,2,5,2,0.1498,73217992,488715910,119628452,17182334,0.9792,0.0353
2006,Rev3,15322,153,15,46,0,0,483145239,293350752,189794487,0,0,0,0,148129889,17,0,0,,,,,,,0.3066
2007,Rev3,15322,153,15,45,2826,23991469,370466977,272475795,97991182,25255116,9186527,238733723,9978644,58306676,2,7,1,0.2448,8489550,34674870,8936701,3250717,0.0418,0.1574
2009,Rev3,15322,153,15,37,3647,35733980,618419545,412320957,206098588,23588970,13631690,329104433,22301467,206596692,11,12,1,0.1734,9798185,56511815,6468048,3737782,0.0678,0.3341
2010,Rev3,15322,153,15,39,3786,46914122,1381882779,1136427728,245455051,48977144,43970156,997156735,25451304,817793757,10,11,2,0.1911,12391474,64832290,12936382,11613882,0.0255,0.5918
2006,Rev3,15323,153,15,171,0,0,1515969683,1247311424,268658259,0,0,0,0,24416381,16,0,0,,,,,,,0.0161
2007,Rev3,15323,153,15,138,10939,83691971,1908661336,1319133767,589527569,30482413,127953286,1137560757,0,2175568,4,34,11,0.142,7650788,53892273,2786581,11696982,0.0,0.0011
2009,Rev3,15323,153,15,142,12407,132059929,4695744443,3512009410,1183735033,12930654,388375584,2857447831,2179975,322827018,8,25,5,0.1116,10643986,95408643,1042206,31302941,0.0008,0.0687
2010,Rev3,15323,153,15,130,10440,125709384,4958926861,3872245579,1086681282,29009975,401525714,3226369100,0,644606008,7,25,5,0.1157,12041129,104088245,2778733,38460317,0.0,0.13
