hs6,cif_usd,kg,Pm_usd_per_kg,Pm_rp_per_kg,isic3,isic4,bec1,intermediate
080132,4357044.0,775677.0,5.617085,52725.5,0113,1102,1,0
080211,404398.0,82397.0,4.907921,46068.84,0113,1102,1,0
080212,4530938.0,818971.0,5.532477,51931.31,0113,1102,1,0
080222,212397.0,27023.0,7.85986,73777.6,0113,1102,1,0
080232,414340.0,38348.0,10.804736,101420.06,0113,1102,1,0
080240,173866.0,137034.0,1.26878,11909.57,0113,1102,1,0
080250,95205.0,138008.0,0.689851,6475.38,0113,1102,1,0
080260,174617.0,27253.0,6.407258,60142.56,0113,1102,1,0
080290,326489.0,301634.0,1.082401,10160.1,0113,1102,1,0
080300,1142694.0,1922125.0,0.594495,5580.31,0113,1102,1,0
080410,26320276.0,22557895.0,1.166788,10952.21,0113,1102,1,0
080420,8080.0,2626.0,3.076923,28881.94,0113,1102,1,0
080430,15172.0,9756.0,1.555146,14597.58,0113,1102,1,0
080440,46891.0,52284.0,0.896852,8418.42,0113,1102,1,0
080450,993646.0,1092819.0,0.90925,8534.8,0113,1102,1,0
080510,26068993.0,32491997.0,0.80232,7531.09,0113,1102,1,0
080520,176568227.0,179394411.0,0.984246,9238.75,0113,1102,1,0
080540,247942.0,292525.0,0.847593,7956.04,0113,1102,1,0
080550,3534691.0,3412646.0,1.035763,9722.32,0113,1102,1,0
080590,138063.0,123019.0,1.12229,10534.52,0113,1102,1,0
080610,122686092.0,59448541.0,2.063736,19371.53,0113,1102,1,0
080620,4179900.0,1942632.0,2.151668,20196.92,0113,1102,1,0
080711,230249.0,348658.0,0.660386,6198.8,0113,1102,1,0
080719,612013.0,696456.0,0.878753,8248.53,0113,1102,1,0
080720,58681.0,82946.0,0.70746,6640.67,0113,1102,1,0
080810,170515810.0,183859437.0,0.927425,8705.39,0113,1102,1,0
080820,104793192.0,131134457.0,0.799128,7501.12,0113,1102,1,0
080910,7777.0,3532.0,2.201869,20668.13,0113,1102,1,0
080920,276.0,143.0,1.93007,18116.85,0113,1102,1,0
080930,64346.0,58059.0,1.108286,10403.07,0113,1102,1,0
080940,236215.0,151920.0,1.554864,14594.94,0113,1102,1,0
081010,304802.0,120032.0,2.53934,23835.84,0113,1102,1,0
081040,296975.0,56529.0,5.253498,49312.64,0113,1102,1,0
081050,7664580.0,3475621.0,2.20524,20699.78,0113,1102,1,0
081060,28817122.0,19766545.0,1.457873,13684.52,0113,1102,1,0
081090,152922246.0,136123729.0,1.123406,10545.0,0113,1102,1,0
081110,985281.0,422110.0,2.334181,21910.09,1513,1030|1075,1,0
081120,290113.0,59424.0,4.882085,45826.32,1513,1030|1075,1,0
081190,1614288.0,370912.0,4.352213,40852.61,1513,1030|1075,1,0
081210,152553.0,41937.0,3.637671,34145.47,1513,1030|1075,1,0
081290,300850.0,73577.0,4.088914,38381.12,1513,1030|1075,1,0
081310,2109.0,902.0,2.338137,21947.23,0113,1102,1,0
081320,53327.0,23514.0,2.267883,21287.78,0113,1102,1,0
081330,3048.0,603.0,5.054726,47446.85,0113,1102,1,0
081340,3735145.0,5803885.0,0.643559,6040.85,0113,1102,1,0
081350,358205.0,122372.0,2.927181,27476.37,0113,1102,1,0
081400,72808.0,15041.0,4.840636,45437.26,1513,1030|1075,1,0
090111,112973204.0,52176760.0,2.165202,20323.95,0113,1102,1,0
090112,36006.0,3571.0,10.08289,94644.36,1549,1030|1071|1075|1079,1,0
090121,3570861.0,519165.0,6.878085,64562.04,1549,1030|1071|1075|1079,1,0
090122,606010.0,44026.0,13.764821,129205.28,1549,1030|1071|1075|1079,1,0
090190,9533.0,3705.0,2.573009,24151.89,1549,1030|1071|1075|1079,1,0
090210,107623.0,46820.0,2.298654,21576.62,1549,1030|1071|1075|1079,1,0
090220,9306388.0,7326793.0,1.270186,11922.76,0113,1102,1,0
090230,2719682.0,214965.0,12.651743,118757.23,1549,1030|1071|1075|1079,1,0
090240,21115989.0,16808279.0,1.256285,11792.28,0113,1102,1,0
090300,8849.0,585.0,15.126496,141986.82,0113,1102,1,0
090411,10067871.0,4173204.0,2.412504,22645.28,0113,1102,1,0
090412,345101.0,81083.0,4.256145,39950.86,0113,1102,1,0
090420,19027536.0,18788616.0,1.012716,9505.99,0113,1102,1,0
090500,408164.0,51755.0,7.886465,74027.33,0113,1102,1,0
090611,63210.0,29000.0,2.179655,20459.62,0113,1102,1,0
090619,692043.0,67358.0,10.274103,96439.2,0113,1102,1,0
090620,1089517.0,341330.0,3.191976,29961.89,0113,1102,1,0
090700,110792865.0,7164081.0,15.465049,145164.69,0113,1102,1,0
090810,814846.0,58728.0,13.874915,130238.69,0113,1102,1,0
090830,17134.0,29355.0,0.583683,5478.81,0113,1102,1,0
090910,1989389.0,1088505.0,1.827634,17155.33,0113,1102,1,0
090920,6592534.0,16760491.0,0.393338,3692.12,0113,1102,1,0
