isic4,X_usd,X_kg,M_usd,M_kg,n_hs_X,n_hs_M,Px_usd_per_kg,Pm_usd_per_kg
2680,14640957.0,2899155.0,23318736.0,3341320.0,3,3,5.0501,6.9789
2710,1789792933.0,74785311.0,3969984473.0,331332413.0,51,52,23.9324,11.9819
2720,746363911.0,162761438.0,322553450.0,46213595.0,14,15,4.5856,6.9796
2731,1799569.0,151646.0,52625373.0,8613816.0,1,1,11.8669,6.1094
2732,1071375583.0,85962344.0,877353098.0,123191870.0,7,7,12.4633,7.1218
2733,676524.0,179323.0,50439475.0,9184171.0,2,2,3.7727,5.492
2740,412859363.0,37205497.0,962356554.0,93783318.0,29,29,11.0967,10.2615
2750,682592133.0,117220146.0,607226057.0,133213016.0,43,44,5.8232,4.5583
2790,70989977.0,6316211.0,680979154.0,52333861.0,22,22,11.2393,13.0122
2811,159641663.0,7761677.0,1280664444.0,208114591.0,14,16,20.5679,6.1537
2812,27557959.0,2742968.0,131165979.0,10989017.0,6,6,10.0468,11.9361
2813,425920881.0,35677511.0,2632256070.0,284439861.0,23,24,11.9381,9.2542
2814,347581140.0,31094830.0,1739200752.0,183816527.0,18,18,11.1781,9.4616
2815,2436239.0,395936.0,311936374.0,45962228.0,12,12,6.1531,6.7868
2816,168671335.0,27822788.0,1561443573.0,287901785.0,35,36,6.0623,5.4235
2817,428513326.0,16845748.0,1063041245.0,71033185.0,18,18,25.4375,14.9654
2818,2725395.0,232142.0,85126454.0,23913744.0,10,10,11.7402,3.5597
2819,471268528.0,65940848.0,3130627996.0,301440903.0,63,65,7.1468,10.3855
2821,12469730.0,1924203.0,315135806.0,74558036.0,28,32,6.4805,4.2267
2822,24469964.0,5018381.0,1345243512.0,335111876.0,64,67,4.8761,4.0143
2823,1673417.0,193558.0,207725398.0,40152719.0,7,9,8.6456,5.1734
2824,809417721.0,194911564.0,5758013532.0,1195897299.0,29,31,4.1527,4.8148
2825,24112381.0,2590979.0,920225637.0,80215923.0,18,20,9.3063,11.4719
2826,36704269.0,4472891.0,1026900078.0,120050993.0,45,49,8.2059,8.5539
2829,159202068.0,9908937.0,2602087148.0,180944117.0,51,55,16.0665,14.3806
2910,2551366460.0,258450706.0,4603440025.0,442930059.0,29,29,9.8718,10.3932
2920,30988849.0,8260043.0,80562526.0,12116352.0,7,7,3.7517,6.6491
2930,1883999007.0,228224631.0,4363062892.0,417917224.0,21,21,8.255,10.44
3011,815110906.0,163092862.0,1794001629.0,1290933849.0,12,12,4.9978,1.3897
3012,3466436.0,1563534.0,13622722.0,1407555.0,4,4,2.2171,9.6783
3020,6755965.0,947477.0,49720322.0,13236701.0,5,10,7.1305,3.7562
3030,222390326.0,2030236.0,4743140344.0,8200619.0,18,18,109.5392,578.3881
3040,53295612.0,548132.0,37883401.0,742577.0,1,1,97.2313,51.0161
3091,397069022.0,37247765.0,536164049.0,105789902.0,7,7,10.6602,5.0682
3092,398538840.0,44237532.0,367726380.0,141711912.0,12,12,9.0091,2.5949
3100,1695093225.0,594415398.0,319368915.0,113750619.0,21,21,2.8517,2.8076
3211,166755167.0,4094610.0,29698452.0,472328.0,13,16,40.7255,62.8768
3212,12201645.0,494982.0,19174344.0,5528830.0,3,3,24.6507,3.4681
3220,543654776.0,52100028.0,187207769.0,17584809.0,17,17,10.4348,10.646
3230,189115861.0,8009859.0,69435319.0,17465340.0,22,23,23.6104,3.9756
3240,352801485.0,31359344.0,131341483.0,47115799.0,5,5,11.2503,2.7876
3250,106336543.0,6999154.0,288893996.0,20768714.0,24,27,15.1928,13.9101
3290,564495669.0,59677498.0,482678876.0,88528768.0,66,67,9.4591,5.4522
3510,0.0,0.0,255409.0,0.0,0,1,,
3520,7109.0,5241.0,37804.0,1688.0,1,1,1.3564,22.3957
3530,781232.0,996697.0,26642.0,53874.0,1,1,0.7838,0.4945
3830,7199376.0,6450365.0,8836115.0,12913777.0,1,1,1.1161,0.6842
5310,405282.0,128758.0,7778332.0,23468.0,2,2,3.1476,331.4442
5811,17184741.0,6985263.0,63954590.0,4204207.0,6,6,2.4601,15.212
5813,702643.0,218431.0,519935.0,95419.0,2,2,3.2168,5.449
5819,11684583.0,3640586.0,25862622.0,2372653.0,6,6,3.2095,10.9003
5911,63734.0,2047.0,1374738.0,21800.0,2,2,31.1353,63.0614
5920,950262.0,3171.0,7497935.0,63417.0,2,2,299.6727,118.2323
7110,6930.0,1647.0,903605.0,37547.0,1,1,4.2077,24.066
7420,50344.0,4925.0,1709491.0,500909.0,3,3,10.2221,3.4128
9000,18669484.0,1744674.0,2403626.0,973950.0,4,4,10.7008,2.4679
9102,300.0,16.0,26673.0,573.0,1,1,18.75,46.5497
n/a,1454587240.0,1338802519.0,1942385121.0,4951154511.0,75,69,1.0865,0.3923
